model,precision,recall,f1,auc_roc,auc_pr,tn,fp,fn,tp,best_val_f1,training_time
xgboost,0.7398,0.4877,0.5879,0.8544,0.5617,8363,70,209,199,,1.7822
gat,0.2762,0.4657,0.3467,0.8399,0.4338,7935,498,218,190,0.5696,793.2908
graphsage,0.5,0.4657,0.4822,0.8284,0.4211,8243,190,218,190,0.8155,258.8036
gcn,0.3479,0.4485,0.3919,0.8421,0.3806,8090,343,225,183,0.782,239.1768
