model,precision,recall,f1,auc_roc,auc_pr,tn,fp,fn,tp,best_val_f1
gcn_tuned,0.4215456674473068,0.4411764705882353,0.4311377245508982,0.8571330998900213,0.4409954600392548,8186,247,228,180,0.7890743550834598
xgboost_tuned,0.9345794392523364,0.49019607843137253,0.6430868167202572,0.9442314041708229,0.6837444189497733,8419,14,208,200,
graphsage_tuned,0.6245733788395904,0.4485294117647059,0.5221112696148359,0.8295996063550524,0.45399237852749996,8323,110,225,183,0.8134270101483216
ensemble_graphsage_xgb,0.7509578544061303,0.4803921568627451,0.585949177877429,0.9308028915348898,0.6276907780797342,8368,65,212,196,
