feature,mean_abs_shap
Local_feature_59,0.9082207237889262
Local_feature_53,0.5086052641345218
fees,0.3794191323099117
Local_feature_46,0.35339155128864
Local_feature_2,0.3405779597409727
Local_feature_58,0.3023682313969079
Aggregate_feature_8,0.2916047261809011
Local_feature_3,0.27393189065873197
Local_feature_89,0.24655786073094335
out_BTC_min,0.2446961483021711
Local_feature_55,0.23461474017144654
size,0.23245600027222507
Local_feature_52,0.22431563761522025
Aggregate_feature_68,0.21544246877925582
Local_feature_90,0.205213514718976
Aggregate_feature_70,0.20292715582906673
Aggregate_feature_46,0.2005802754431631
Local_feature_79,0.18361641284628696
Aggregate_feature_37,0.17769291975691195
Aggregate_feature_9,0.16700048471887216
Local_feature_65,0.15799698837315113
Aggregate_feature_45,0.15537428937390138
Local_feature_18,0.15395810313766267
Local_feature_80,0.15056880981552917
Aggregate_feature_4,0.13620534792774214
Aggregate_feature_61,0.13256871824954175
in_BTC_median,0.1274538162155033
Aggregate_feature_32,0.12594889057709882
Aggregate_feature_10,0.12461947802204253
Local_feature_61,0.12165133225846457
btc_concentration,0.12115854845567438
Aggregate_feature_28,0.12108226390772649
Aggregate_feature_65,0.11960786677855778
Local_feature_5,0.11822564358331912
Aggregate_feature_44,0.11738164770330457
Aggregate_feature_49,0.1167763656602947
Aggregate_feature_34,0.11514585401166264
Local_feature_64,0.11399849718355141
Local_feature_88,0.11325783872611615
Local_feature_83,0.11048246106283888
Local_feature_73,0.11010283345493384
Aggregate_feature_43,0.10640714534891922
Local_feature_9,0.10519054805556168
Local_feature_41,0.10436334986021231
Aggregate_feature_39,0.10154717785746242
Aggregate_feature_14,0.10114527641347092
Aggregate_feature_51,0.09902023722564623
Local_feature_78,0.09763922968154669
Aggregate_feature_56,0.09554282073922248
Aggregate_feature_69,0.0939661218142772
Local_feature_23,0.09119092866507354
Aggregate_feature_13,0.08994723933760407
in_BTC_min,0.08981525082483535
Local_feature_76,0.0886925173484625
btc_flow_ratio,0.08632920798928917
Aggregate_feature_2,0.08338798422384612
Aggregate_feature_38,0.08329310865073113
Local_feature_40,0.08018821265462495
Local_feature_67,0.07933658098374999
Local_feature_29,0.07903986265335536
Local_feature_77,0.07713294049766951
Local_feature_16,0.07554801418717388
Aggregate_feature_62,0.07426447087422634
Aggregate_feature_1,0.07412626382998759
out_BTC_median,0.07381316242958977
Local_feature_20,0.07174359009390398
Aggregate_feature_16,0.07164646496403154
Local_feature_11,0.07160678148161577
Local_feature_47,0.07045732521662505
