feature,mean_abs_shap,rel_importance,cumulative_importance
Local_feature_59,0.9082207237889262,0.06528900051507118,0.06528900051507118
Local_feature_53,0.5086052641345218,0.036561959535030365,0.10185096005010155
fees,0.3794191323099117,0.027275193436972007,0.12912615348707357
Local_feature_46,0.35339155128864,0.025404156247229585,0.15453030973430315
Local_feature_2,0.3405779597409727,0.024483029297312078,0.17901333903161523
Local_feature_58,0.3023682313969079,0.02173625760603304,0.20074959663764827
Aggregate_feature_8,0.2916047261809011,0.020962504619358013,0.22171210125700627
Local_feature_3,0.27393189065873197,0.019692062603130882,0.24140416386013716
Local_feature_89,0.24655786073094335,0.017724233630236487,0.25912839749037364
out_BTC_min,0.2446961483021711,0.017590401247273516,0.27671879873764715
Local_feature_55,0.23461474017144654,0.016865681976506813,0.293584480714154
size,0.23245600027222507,0.016710497265675518,0.3102949779798295
Local_feature_52,0.22431563761522025,0.016125313369530936,0.32642029134936046
Aggregate_feature_68,0.21544246877925582,0.015487450447525834,0.34190774179688627
Local_feature_90,0.205213514718976,0.01475212458519123,0.3566598663820775
Aggregate_feature_70,0.20292715582906673,0.014587765764883564,0.37124763214696105
Aggregate_feature_46,0.2005802754431631,0.014419056253296066,0.38566668840025714
Local_feature_79,0.18361641284628696,0.013199579968715664,0.3988662683689728
Aggregate_feature_37,0.17769291975691195,0.012773759534064247,0.41164002790303705
Aggregate_feature_9,0.16700048471887216,0.012005115548719351,0.4236451434517564
Local_feature_65,0.15799698837315113,0.011357883810710876,0.4350030272624673
Aggregate_feature_45,0.15537428937390138,0.011169346606232058,0.44617237386869935
Local_feature_18,0.15395810313766267,0.011067541635826303,0.45723991550452564
Local_feature_80,0.15056880981552917,0.01082389648695616,0.4680638119914818
Aggregate_feature_4,0.13620534792774214,0.009791354456118428,0.47785516644760023
Aggregate_feature_61,0.13256871824954175,0.009529929110148973,0.4873850955577492
in_BTC_median,0.1274538162155033,0.009162235626849329,0.49654733118459854
Aggregate_feature_32,0.12594889057709882,0.009054051472703372,0.5056013826573019
Aggregate_feature_10,0.12461947802204253,0.00895848437682197,0.5145598670341239
Local_feature_61,0.12165133225846457,0.008745114140698526,0.5233049811748225
btc_concentration,0.12115854845567438,0.008709689533979615,0.5320146707088022
Aggregate_feature_28,0.12108226390772649,0.008704205688742651,0.5407188763975448
Aggregate_feature_65,0.11960786677855778,0.008598216128711332,0.5493170925262562
Local_feature_5,0.11822564358331912,0.00849885264961189,0.5578159451758681
Aggregate_feature_44,0.11738164770330457,0.008438180561867509,0.5662541257377356
Aggregate_feature_49,0.1167763656602947,0.008394668826688231,0.5746487945644239
Aggregate_feature_34,0.11514585401166264,0.008277456707344312,0.5829262512717682
Local_feature_64,0.11399849718355141,0.008194976998855593,0.5911212282706239
Local_feature_88,0.11325783872611615,0.008141733498523155,0.5992629617691471
Local_feature_83,0.11048246106283888,0.00794222072707781,0.6072051824962249
