Configuration,Model,F1,Precision,Recall,AUC-ROC,AUC-PR,Training_Time,TP,TN,FP,FN
engineered_weight,xgboost,0.5878877400295421,0.7397769516728625,0.4877450980392157,0.8544126947589187,0.561737109983409,1.8503201007843018,199,8363,70,209
baseline_weight,xgboost,0.5942684766214178,0.7725490196078432,0.48284313725490197,0.8571447255529747,0.562789852436436,1.6966431140899658,197,8375,58,211
baseline_weight,graphsage,0.5526717557251909,0.7327935222672065,0.44362745098039214,0.8386180690703886,0.5173284456116891,182.8947138786316,181,8367,66,227
engineered_weight,graphsage,0.5267993874425727,0.7020408163265306,0.4215686274509804,0.8288448101878009,0.4877753209012485,176.68621182441711,172,8360,73,236
engineered_weight,gcn,0.39344262295081966,0.37668161434977576,0.4117647058823529,0.8293814798538887,0.39906688707147137,188.77070713043213,168,8155,278,240
baseline_weight,gcn,0.4385692068429238,0.6,0.34558823529411764,0.8241813208148194,0.44544813630190844,100.88181805610657,141,8339,94,267
