hidden_dim,lr,weight_decay,best_val_f1,epochs_trained,test_precision,test_recall,test_f1,test_auc_pr,test_auc_roc,tp,fp,fn,tn,training_time
64,0.01,0.0005,0.8240601503759398,186,0.5236768802228412,0.46078431372549017,0.49022164276401564,0.3794740978223009,0.8255807599928386,188,171,220,8262,237.88809084892273
64,0.005,0.0005,0.8122137404580153,200,0.6105263157894737,0.4264705882352941,0.5021645021645021,0.4126421241543138,0.8255795974265433,174,111,234,8322,266.9972970485687
128,0.005,0.0005,0.8006379585326954,200,0.7782805429864253,0.4215686274509804,0.5468998410174881,0.5158464654893775,0.8309242053278088,172,49,236,8384,318.4515709877014
128,0.01,0.0005,0.7905982905982906,121,0.48517520215633425,0.4411764705882353,0.4621309370988447,0.4321075290972979,0.8124301007014925,180,191,228,8242,235.95929312705994
128,0.005,5e-05,0.7878315132605305,171,0.610909090909091,0.4117647058823529,0.49194729136163984,0.4065236787923201,0.8388488384800142,168,107,240,8326,282.1933069229126
64,0.005,5e-05,0.7835880933226066,161,0.6174242424242424,0.39950980392156865,0.4851190476190476,0.43466557249254595,0.8488833841374804,163,101,245,8332,227.60620403289795
64,0.01,5e-05,0.7620528771384136,200,0.5541795665634675,0.4387254901960784,0.4897400820793434,0.3905759832190625,0.8370015206367143,179,144,229,8289,215.6664478778839
128,0.01,5e-05,0.7513639906469213,146,0.581081081081081,0.4215686274509804,0.48863636363636365,0.4039036670096681,0.8185937365578272,172,124,236,8309,250.31250095367432
