Configuration,Model,F1,Precision,Recall,AUC-ROC,AUC-PR,Training_Time,TP,TN,FP,FN
engineered_weight,xgboost,0.5878877400295421,0.7397769516728625,0.4877450980392157,0.8544126947589187,0.561737109983409,1.782182216644287,199,8363,70,209
baseline_weight,xgboost,0.5942684766214178,0.7725490196078432,0.48284313725490197,0.8571447255529747,0.562789852436436,2.7781851291656494,197,8375,58,211
engineered_noweight,xgboost,0.6188197767145136,0.8858447488584474,0.47549019607843135,0.8632371542237196,0.5574201868046967,1.4998300075531006,194,8408,25,214
baseline_noweight,xgboost,0.603125,0.8318965517241379,0.4730392156862745,0.8644866223496395,0.5587226119432742,2.724179983139038,193,8394,39,215
engineered_weight,gat,0.3467153284671533,0.2761627906976744,0.46568627450980393,0.8399474636291133,0.43379542209118666,793.2907900810242,190,7935,498,218
engineered_weight,graphsage,0.48223350253807107,0.5,0.46568627450980393,0.8283736801966132,0.4210922616370593,258.80357098579407,190,8243,190,218
engineered_weight,gcn,0.39186295503211993,0.34790874524714827,0.4485294117647059,0.8421168123362234,0.38058823837120315,239.1768078804016,183,8090,343,225
baseline_weight,gat,0.32620320855614976,0.25630252100840334,0.4485294117647059,0.8093690636458544,0.2970261440161204,1162.601104259491,183,7902,531,225
engineered_noweight,gcn,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.8467330724534567,0.45769528580143254,393.3503751754761,176,8201,232,232
baseline_weight,graphsage,0.5118343195266272,0.6455223880597015,0.42401960784313725,0.835262757421242,0.44860965455252616,270.9116199016571,173,8338,95,235
baseline_weight,gcn,0.4917541229385307,0.6332046332046332,0.4019607843137255,0.8398155123545921,0.488669281921743,321.43959879875183,164,8338,95,244
engineered_noweight,gat,0.42482758620689653,0.48580441640378547,0.37745098039215685,0.8104133388206463,0.3581837754928835,717.134268283844,154,8270,163,254
baseline_noweight,graphsage,0.505338078291815,0.922077922077922,0.3480392156862745,0.8485995726406299,0.5393536653001337,214.99306297302246,142,8421,12,266
engineered_noweight,graphsage,0.47619047619047616,0.8490566037735849,0.33088235294117646,0.8177741273196105,0.48926300578647314,261.05943512916565,135,8409,24,273
baseline_noweight,gat,0.3633841886269071,0.4185303514376997,0.32107843137254904,0.7901830867530222,0.2732241848449119,589.0020079612732,131,8251,182,277
baseline_noweight,gcn,0.4227941176470588,0.8455882352941176,0.2818627450980392,0.8246719237914543,0.45394679544691424,361.68636202812195,115,8412,21,293
