hidden_dim,lr,weight_decay,best_val_f1,epochs_trained,test_precision,test_recall,test_f1,test_auc_pr,test_auc_roc,tp,fp,fn,tn,training_time
64,0.005,0.0005,0.7890743550834598,200,0.4215456674473068,0.4411764705882353,0.4311377245508982,0.4409954600392548,0.8571330998900213,180,247,228,8186,182.96298694610596
64,0.01,0.0005,0.7845468053491828,200,0.4746268656716418,0.3897058823529412,0.42799461641991926,0.40589675779308865,0.8321292052929318,159,176,249,8257,179.23933124542236
128,0.01,5e-05,0.7751196172248804,200,0.5058479532163743,0.42401960784313725,0.4613333333333333,0.4159096470331939,0.8435345619333943,173,169,235,8264,297.18853187561035
64,0.01,5e-05,0.7657992565055762,141,0.4552238805970149,0.4485294117647059,0.45185185185185184,0.48462052268764344,0.8555964778891517,183,219,225,8214,122.7995011806488
128,0.005,5e-05,0.7596439169139466,200,0.5046439628482973,0.39950980392156865,0.44596443228454175,0.4614875668305071,0.8424882522675855,163,160,245,8273,308.81073474884033
128,0.01,0.0005,0.7489481065918654,181,0.5046728971962616,0.39705882352941174,0.4444444444444444,0.45911416899295315,0.8268964943975929,162,159,246,8274,414.3255560398102
64,0.005,5e-05,0.7462257368799425,200,0.41277641277641275,0.4117647058823529,0.41226993865030676,0.3605223533296279,0.8222242857773965,168,239,240,8194,160.97341108322144
128,0.005,0.0005,0.7442196531791907,131,0.3428030303030303,0.44362745098039214,0.38675213675213677,0.2934623848444745,0.8330203123583123,181,347,227,8086,198.46030116081238
