experiment,model,features,loss_type,alpha,precision,recall,f1,auc_roc,auc_pr,confusion_matrix,tn,fp,fn,tp,training_time,best_val_f1,epochs_trained
graphsage_engineered_focal,graphsage,engineered,Focal,0.8841908043935209,0.7559808612440191,0.3872549019607843,0.5121555915721232,0.8107618180676752,0.47715041879069287,"[[8382, 51], [250, 158]]",8382,51,250,158,3.3447158336639404,0.7749796913078798,96
gcn_engineered_focal,gcn,engineered,Focal,0.8841908043935209,0.5704225352112676,0.39705882352941174,0.4682080924855491,0.8547815189161162,0.48206555961540465,"[[8311, 122], [246, 162]]",8311,122,246,162,3.9887502193450928,0.7676923076923077,141
graphsage_baseline_focal,graphsage,baseline,Focal,0.8841908043935209,0.8837209302325582,0.27941176470588236,0.4245810055865922,0.8296700869367075,0.49755535309143295,"[[8418, 15], [294, 114]]",8418,15,294,114,4.879083871841431,0.7668161434977578,136
gcn_baseline_focal,gcn,baseline,Focal,0.8841908043935209,0.8910891089108911,0.22058823529411764,0.35363457760314343,0.8201033288923301,0.444756410295652,"[[8422, 11], [318, 90]]",8422,11,318,90,5.037795066833496,0.6882591093117408,181
gat_engineered_focal,gat,engineered,Focal,0.8841908043935209,0.31343283582089554,0.3602941176470588,0.3352337514253136,0.8105627285895978,0.2564132982188649,"[[8111, 322], [261, 147]]",8111,322,261,147,5.926085472106934,0.594392523364486,96
gat_baseline_focal,gat,baseline,Focal,0.8841908043935209,0.3797909407665505,0.26715686274509803,0.31366906474820144,0.7946079593938844,0.24659987275204637,"[[8255, 178], [299, 109]]",8255,178,299,109,6.371233224868774,0.5141843971631206,106
