feature,mean_abs_shap
Local_feature_53,0.44989875159678744
Aggregate_feature_8,0.4101269891312577
Local_feature_65,0.37316943869803126
Local_feature_3,0.3539636902038846
Local_feature_58,0.2783335426256923
Local_feature_90,0.27261186585823843
Local_feature_59,0.271903405291718
Aggregate_feature_32,0.2620237470763253
Local_feature_61,0.2586334034895466
out_BTC_min,0.25204615135052455
Local_feature_55,0.24562033844034967
Aggregate_feature_68,0.241260439323999
Local_feature_5,0.2296868339086584
Aggregate_feature_4,0.2175878010506765
Local_feature_52,0.2147755893030197
Aggregate_feature_10,0.18949162249926105
Local_feature_41,0.17962296294798608
size,0.17175517691318135
Local_feature_18,0.16955256735887064
Aggregate_feature_70,0.16556781546802696
Local_feature_47,0.15837879362197252
Aggregate_feature_13,0.15434573391535109
Aggregate_feature_39,0.15296289265521573
fees,0.1509389697802506
Aggregate_feature_34,0.14850203738633339
Local_feature_88,0.1434479419118432
Aggregate_feature_45,0.14321875469421985
Aggregate_feature_37,0.14321699258240786
Local_feature_89,0.14285302353543763
Aggregate_feature_43,0.14012225366561334
